case_id,timestamp,activity,usuario,host,recurso,tactic,technique_id,technique
case_005,2026-05-07 17:28:59,Impressao,usuario_05,WS-05,-,Benigno,-,Uso normal
case_005,2026-05-07 17:32:51,Navegacao_Web,usuario_05,WS-05,intranet.local,Benigno,-,Uso normal
case_005,2026-05-07 17:36:25,Abrir_Aplicativo,usuario_05,WS-05,\Users\Public,Benigno,-,Uso normal
case_005,2026-05-07 17:38:02,Logoff,usuario_05,WS-05,\Users\Documents,Benigno,-,Uso normal
case_006,2026-05-06 08:04:09,Logon,usuario_05,WS-05,\\fileserver\comum,Initial Access,T1078,Valid Accounts
case_006,2026-05-06 08:09:02,Envio_Email,usuario_05,WS-05,intranet.local,Benigno,-,Uso normal
case_006,2026-05-06 08:12:05,Abrir_Aplicativo,usuario_05,WS-05,\Users\Public,Benigno,-,Uso normal
case_006,2026-05-06 08:16:48,Impressao,usuario_05,WS-05,impressora_01,Benigno,-,Uso normal
case_006,2026-05-06 08:17:35,Abrir_Aplicativo,usuario_05,WS-05,\\fileserver\comum,Benigno,-,Uso normal
case_006,2026-05-06 08:21:15,Logoff,usuario_05,WS-05,\\fileserver\comum,Benigno,-,Uso normal
case_078,2026-05-07 02:01:32,Logon,usuario_19,WS-19,-,Initial Access,T1078,Valid Accounts
case_078,2026-05-07 02:03:30,Descoberta_Arquivos,usuario_19,WS-19,-,Discovery,T1083,File and Directory Discovery
case_078,2026-05-07 02:06:06,Coleta_Arquivos,usuario_19,WS-19,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_078,2026-05-07 02:09:00,Coleta_Arquivos,usuario_19,WS-19,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_078,2026-05-07 02:10:39,Compactar_Dados,usuario_19,WS-19,-,Collection,T1560,Archive Collected Data
case_078,2026-05-07 02:12:18,Exfiltracao_Web,usuario_19,WS-19,dropbox-externo.com,Exfiltration,T1567,Exfiltration Over Web Service
case_078,2026-05-07 02:14:44,Logoff,usuario_19,WS-19,-,Benigno,-,Uso normal
case_067,2026-05-05 01:43:10,Logon,usuario_01,WS-01,-,Initial Access,T1078,Valid Accounts
case_067,2026-05-05 01:46:17,Descoberta_Arquivos,usuario_01,WS-01,-,Discovery,T1083,File and Directory Discovery
case_067,2026-05-05 01:48:15,Coleta_Arquivos,usuario_01,WS-01,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_067,2026-05-05 01:51:54,Coleta_Arquivos,usuario_01,WS-01,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_067,2026-05-05 01:55:02,Compactar_Dados,usuario_01,WS-01,-,Collection,T1560,Archive Collected Data
case_067,2026-05-05 01:57:24,Exfiltracao_Web,usuario_01,WS-01,dropbox-externo.com,Exfiltration,T1567,Exfiltration Over Web Service
case_067,2026-05-05 02:00:58,Logoff,usuario_01,WS-01,-,Benigno,-,Uso normal
case_035,2026-05-07 12:27:14,Logon,usuario_04,WS-04,impressora_01,Initial Access,T1078,Valid Accounts
case_035,2026-05-07 12:27:34,Abrir_Aplicativo,usuario_04,WS-04,\Users\Documents,Benigno,-,Uso normal
case_035,2026-05-07 12:32:29,Navegacao_Web,usuario_04,WS-04,intranet.local,Benigno,-,Uso normal
case_035,2026-05-07 12:36:44,Navegacao_Web,usuario_04,WS-04,intranet.local,Benigno,-,Uso normal
case_035,2026-05-07 12:39:45,Logoff,usuario_04,WS-04,-,Benigno,-,Uso normal
case_044,2026-05-07 14:22:02,Logon,usuario_15,WS-15,intranet.local,Initial Access,T1078,Valid Accounts
case_044,2026-05-07 14:24:21,Abrir_Aplicativo,usuario_15,WS-15,\Users\Documents,Benigno,-,Uso normal
case_044,2026-05-07 14:25:06,Navegacao_Web,usuario_15,WS-15,\Users\Public,Benigno,-,Uso normal
case_044,2026-05-07 14:27:05,Impressao,usuario_15,WS-15,\Users\Documents,Benigno,-,Uso normal
case_044,2026-05-07 14:30:35,Logoff,usuario_15,WS-15,impressora_01,Benigno,-,Uso normal
case_074,2026-05-07 00:48:31,Logon,usuario_10,WS-10,-,Initial Access,T1078,Valid Accounts
case_074,2026-05-07 00:50:25,Descoberta_Arquivos,usuario_10,WS-10,-,Discovery,T1083,File and Directory Discovery
case_074,2026-05-07 00:54:58,Coleta_Arquivos,usuario_10,WS-10,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_074,2026-05-07 00:58:15,Coleta_Arquivos,usuario_10,WS-10,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_074,2026-05-07 01:02:58,Compactar_Dados,usuario_10,WS-10,-,Collection,T1560,Archive Collected Data
case_074,2026-05-07 01:05:31,Exfiltracao_Web,usuario_10,WS-10,dropbox-externo.com,Exfiltration,T1567,Exfiltration Over Web Service
case_074,2026-05-07 01:07:12,Logoff,usuario_10,WS-10,-,Benigno,-,Uso normal
case_008,2026-05-04 09:58:54,Logon,usuario_12,WS-12,\\fileserver\comum,Initial Access,T1078,Valid Accounts
case_008,2026-05-04 10:03:12,Abrir_Aplicativo,usuario_12,WS-12,\\fileserver\comum,Benigno,-,Uso normal
case_008,2026-05-04 10:07:39,Impressao,usuario_12,WS-12,intranet.local,Benigno,-,Uso normal
case_008,2026-05-04 10:08:42,Envio_Email,usuario_12,WS-12,\Users\Public,Benigno,-,Uso normal
case_008,2026-05-04 10:09:54,Abrir_Aplicativo,usuario_12,WS-12,-,Benigno,-,Uso normal
case_008,2026-05-04 10:13:09,Acesso_Arquivo_Comum,usuario_12,WS-12,-,Benigno,-,Uso normal
case_008,2026-05-04 10:15:44,Acesso_Arquivo_Comum,usuario_12,WS-12,\\fileserver\comum,Benigno,-,Uso normal
case_008,2026-05-04 10:17:26,Acesso_Arquivo_Comum,usuario_12,WS-12,impressora_01,Benigno,-,Uso normal
case_008,2026-05-04 10:17:57,Logoff,usuario_12,WS-12,\Users\Public,Benigno,-,Uso normal
case_047,2026-05-07 10:46:08,Logon,usuario_14,WS-14,\Users\Documents,Initial Access,T1078,Valid Accounts
case_047,2026-05-07 10:46:54,Navegacao_Web,usuario_14,WS-14,impressora_01,Benigno,-,Uso normal
case_047,2026-05-07 10:48:26,Impressao,usuario_14,WS-14,-,Benigno,-,Uso normal
case_047,2026-05-07 10:52:09,Navegacao_Web,usuario_14,WS-14,\Users\Documents,Benigno,-,Uso normal
case_047,2026-05-07 10:55:38,Impressao,usuario_14,WS-14,-,Benigno,-,Uso normal
case_047,2026-05-07 11:00:16,Logoff,usuario_14,WS-14,\Users\Public,Benigno,-,Uso normal
case_022,2026-05-04 12:29:23,Logon,usuario_20,WS-20,intranet.local,Initial Access,T1078,Valid Accounts
case_022,2026-05-04 12:34:23,Envio_Email,usuario_20,WS-20,intranet.local,Benigno,-,Uso normal
case_022,2026-05-04 12:36:48,Abrir_Aplicativo,usuario_20,WS-20,\Users\Documents,Benigno,-,Uso normal
case_022,2026-05-04 12:39:46,Abrir_Aplicativo,usuario_20,WS-20,\Users\Public,Benigno,-,Uso normal
case_022,2026-05-04 12:43:08,Acesso_Arquivo_Comum,usuario_20,WS-20,\Users\Public,Benigno,-,Uso normal
case_022,2026-05-04 12:43:28,Logoff,usuario_20,WS-20,intranet.local,Benigno,-,Uso normal
case_037,2026-05-06 09:51:39,Logon,usuario_16,WS-16,\\fileserver\comum,Initial Access,T1078,Valid Accounts
case_037,2026-05-06 09:53:34,Acesso_Arquivo_Comum,usuario_16,WS-16,\Users\Public,Benigno,-,Uso normal
case_037,2026-05-06 09:58:02,Impressao,usuario_16,WS-16,\\fileserver\comum,Benigno,-,Uso normal
case_037,2026-05-06 09:58:50,Acesso_Arquivo_Comum,usuario_16,WS-16,impressora_01,Benigno,-,Uso normal
case_037,2026-05-06 10:00:24,Acesso_Arquivo_Comum,usuario_16,WS-16,\\fileserver\comum,Benigno,-,Uso normal
case_037,2026-05-06 10:01:11,Logoff,usuario_16,WS-16,\Users\Public,Benigno,-,Uso normal
case_020,2026-05-08 16:06:15,Logon,usuario_02,WS-02,\\fileserver\comum,Initial Access,T1078,Valid Accounts
case_020,2026-05-08 16:07:29,Abrir_Aplicativo,usuario_02,WS-02,-,Benigno,-,Uso normal
case_020,2026-05-08 16:11:30,Navegacao_Web,usuario_02,WS-02,-,Benigno,-,Uso normal
case_020,2026-05-08 16:16:03,Impressao,usuario_02,WS-02,impressora_01,Benigno,-,Uso normal
case_020,2026-05-08 16:19:44,Logoff,usuario_02,WS-02,impressora_01,Benigno,-,Uso normal
case_043,2026-05-05 12:11:15,Logon,usuario_10,WS-10,\Users\Public,Initial Access,T1078,Valid Accounts
case_043,2026-05-05 12:13:59,Acesso_Arquivo_Comum,usuario_10,WS-10,impressora_01,Benigno,-,Uso normal
case_043,2026-05-05 12:15:55,Acesso_Arquivo_Comum,usuario_10,WS-10,intranet.local,Benigno,-,Uso normal
case_043,2026-05-05 12:16:48,Acesso_Arquivo_Comum,usuario_10,WS-10,\\fileserver\comum,Benigno,-,Uso normal
case_043,2026-05-05 12:19:16,Acesso_Arquivo_Comum,usuario_10,WS-10,\Users\Public,Benigno,-,Uso normal
case_043,2026-05-05 12:23:55,Navegacao_Web,usuario_10,WS-10,impressora_01,Benigno,-,Uso normal
case_043,2026-05-05 12:26:13,Logoff,usuario_10,WS-10,-,Benigno,-,Uso normal
case_039,2026-05-04 17:34:48,Logon,usuario_12,WS-12,\Users\Public,Initial Access,T1078,Valid Accounts
case_039,2026-05-04 17:38:22,Navegacao_Web,usuario_12,WS-12,intranet.local,Benigno,-,Uso normal
case_039,2026-05-04 17:41:20,Abrir_Aplicativo,usuario_12,WS-12,\\fileserver\comum,Benigno,-,Uso normal
case_039,2026-05-04 17:42:24,Abrir_Aplicativo,usuario_12,WS-12,\Users\Documents,Benigno,-,Uso normal
case_039,2026-05-04 17:46:46,Abrir_Aplicativo,usuario_12,WS-12,\Users\Public,Benigno,-,Uso normal
case_039,2026-05-04 17:50:16,Navegacao_Web,usuario_12,WS-12,impressora_01,Benigno,-,Uso normal
case_039,2026-05-04 17:54:24,Logoff,usuario_12,WS-12,\Users\Public,Benigno,-,Uso normal
case_048,2026-05-05 13:08:08,Logon,usuario_12,WS-12,\Users\Documents,Initial Access,T1078,Valid Accounts
case_048,2026-05-05 13:12:35,Abrir_Aplicativo,usuario_12,WS-12,intranet.local,Benigno,-,Uso normal
case_048,2026-05-05 13:13:22,Abrir_Aplicativo,usuario_12,WS-12,impressora_01,Benigno,-,Uso normal
case_048,2026-05-05 13:17:00,Abrir_Aplicativo,usuario_12,WS-12,\Users\Documents,Benigno,-,Uso normal
case_048,2026-05-05 13:18:42,Acesso_Arquivo_Comum,usuario_12,WS-12,-,Benigno,-,Uso normal
case_048,2026-05-05 13:20:55,Envio_Email,usuario_12,WS-12,impressora_01,Benigno,-,Uso normal
case_048,2026-05-05 13:24:42,Logoff,usuario_12,WS-12,impressora_01,Benigno,-,Uso normal
case_064,2026-05-08 14:31:41,Logon,usuario_14,WS-14,-,Initial Access,T1078,Valid Accounts
case_064,2026-05-08 14:35:33,Descoberta_Rede,usuario_14,WS-14,-,Discovery,T1018,Remote System Discovery
case_064,2026-05-08 14:37:22,Coleta_Credenciais,usuario_14,WS-14,-,Credential Access,T1003,OS Credential Dumping
case_064,2026-05-08 14:42:02,Conexao_WinRM,usuario_14,SRV-FILE,SRV-FILE,Lateral Movement,T1021.006,Remote Services: WinRM / PS Remoting
case_064,2026-05-08 14:45:00,Execucao_PowerShell,usuario_14,SRV-FILE,SRV-FILE,Execution,T1059.001,Command and Scripting Interpreter: PowerShell
case_064,2026-05-08 14:45:52,Persistencia_Tarefa,usuario_14,SRV-FILE,SRV-FILE,Persistence,T1053.005,Scheduled Task
case_064,2026-05-08 14:48:45,Logoff,usuario_14,SRV-FILE,-,Benigno,-,Uso normal
case_029,2026-05-05 08:12:57,Logon,usuario_13,WS-13,-,Initial Access,T1078,Valid Accounts
case_029,2026-05-05 08:15:45,Abrir_Aplicativo,usuario_13,WS-13,intranet.local,Benigno,-,Uso normal
case_029,2026-05-05 08:19:15,Acesso_Arquivo_Comum,usuario_13,WS-13,\Users\Documents,Benigno,-,Uso normal
case_029,2026-05-05 08:22:56,Acesso_Arquivo_Comum,usuario_13,WS-13,\\fileserver\comum,Benigno,-,Uso normal
case_029,2026-05-05 08:23:55,Acesso_Arquivo_Comum,usuario_13,WS-13,intranet.local,Benigno,-,Uso normal
case_029,2026-05-05 08:27:54,Acesso_Arquivo_Comum,usuario_13,WS-13,intranet.local,Benigno,-,Uso normal
case_029,2026-05-05 08:28:38,Logoff,usuario_13,WS-13,intranet.local,Benigno,-,Uso normal
case_018,2026-05-06 08:58:51,Logon,usuario_14,WS-14,-,Initial Access,T1078,Valid Accounts
case_018,2026-05-06 09:00:44,Navegacao_Web,usuario_14,WS-14,\\fileserver\comum,Benigno,-,Uso normal
case_018,2026-05-06 09:01:41,Navegacao_Web,usuario_14,WS-14,intranet.local,Benigno,-,Uso normal
case_018,2026-05-06 09:02:09,Navegacao_Web,usuario_14,WS-14,-,Benigno,-,Uso normal
case_018,2026-05-06 09:03:14,Navegacao_Web,usuario_14,WS-14,intranet.local,Benigno,-,Uso normal
case_018,2026-05-06 09:04:16,Acesso_Arquivo_Comum,usuario_14,WS-14,impressora_01,Benigno,-,Uso normal
case_018,2026-05-06 09:06:29,Logoff,usuario_14,WS-14,\Users\Documents,Benigno,-,Uso normal
case_015,2026-05-07 16:39:15,Logon,usuario_03,WS-03,-,Initial Access,T1078,Valid Accounts
case_015,2026-05-07 16:44:02,Acesso_Arquivo_Comum,usuario_03,WS-03,intranet.local,Benigno,-,Uso normal
case_015,2026-05-07 16:46:05,Impressao,usuario_03,WS-03,\\fileserver\comum,Benigno,-,Uso normal
case_015,2026-05-07 16:47:35,Envio_Email,usuario_03,WS-03,\\fileserver\comum,Benigno,-,Uso normal
case_015,2026-05-07 16:48:57,Abrir_Aplicativo,usuario_03,WS-03,\\fileserver\comum,Benigno,-,Uso normal
case_015,2026-05-07 16:53:03,Acesso_Arquivo_Comum,usuario_03,WS-03,intranet.local,Benigno,-,Uso normal
case_015,2026-05-07 16:54:00,Navegacao_Web,usuario_03,WS-03,-,Benigno,-,Uso normal
case_015,2026-05-07 16:56:23,Logoff,usuario_03,WS-03,\\fileserver\comum,Benigno,-,Uso normal
case_076,2026-05-05 02:35:16,Logon,usuario_14,WS-14,-,Initial Access,T1078,Valid Accounts
case_076,2026-05-05 02:39:15,Descoberta_Arquivos,usuario_14,WS-14,-,Discovery,T1083,File and Directory Discovery
case_076,2026-05-05 02:44:14,Coleta_Arquivos,usuario_14,WS-14,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_076,2026-05-05 02:48:50,Coleta_Arquivos,usuario_14,WS-14,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_076,2026-05-05 02:50:37,Coleta_Arquivos,usuario_14,WS-14,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_076,2026-05-05 02:54:11,Coleta_Arquivos,usuario_14,WS-14,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_076,2026-05-05 02:56:30,Compactar_Dados,usuario_14,WS-14,-,Collection,T1560,Archive Collected Data
case_076,2026-05-05 03:00:45,Exfiltracao_Web,usuario_14,WS-14,dropbox-externo.com,Exfiltration,T1567,Exfiltration Over Web Service
case_076,2026-05-05 03:02:09,Logoff,usuario_14,WS-14,-,Benigno,-,Uso normal
case_004,2026-05-04 13:17:41,Logon,usuario_20,WS-20,impressora_01,Initial Access,T1078,Valid Accounts
case_004,2026-05-04 13:21:49,Navegacao_Web,usuario_20,WS-20,intranet.local,Benigno,-,Uso normal
case_004,2026-05-04 13:25:26,Navegacao_Web,usuario_20,WS-20,-,Benigno,-,Uso normal
case_004,2026-05-04 13:28:43,Impressao,usuario_20,WS-20,\Users\Documents,Benigno,-,Uso normal
case_004,2026-05-04 13:32:59,Impressao,usuario_20,WS-20,intranet.local,Benigno,-,Uso normal
case_004,2026-05-04 13:34:45,Navegacao_Web,usuario_20,WS-20,impressora_01,Benigno,-,Uso normal
case_004,2026-05-04 13:36:04,Envio_Email,usuario_20,WS-20,\\fileserver\comum,Benigno,-,Uso normal
case_004,2026-05-04 13:36:54,Logoff,usuario_20,WS-20,\Users\Public,Benigno,-,Uso normal
case_055,2026-05-05 12:26:10,Logon,usuario_11,WS-11,-,Initial Access,T1078,Valid Accounts
case_055,2026-05-05 12:28:52,Descoberta_Rede,usuario_11,WS-11,-,Discovery,T1018,Remote System Discovery
case_055,2026-05-05 12:31:59,Coleta_Credenciais,usuario_11,WS-11,-,Credential Access,T1003,OS Credential Dumping
case_055,2026-05-05 12:35:31,Conexao_WinRM,usuario_11,SRV-DC,SRV-DC,Lateral Movement,T1021.006,Remote Services: WinRM / PS Remoting
case_055,2026-05-05 12:37:17,Execucao_PowerShell,usuario_11,SRV-DC,SRV-DC,Execution,T1059.001,Command and Scripting Interpreter: PowerShell
case_055,2026-05-05 12:39:52,Persistencia_Tarefa,usuario_11,SRV-DC,SRV-DC,Persistence,T1053.005,Scheduled Task
case_055,2026-05-05 12:41:10,Logoff,usuario_11,SRV-DC,-,Benigno,-,Uso normal
case_042,2026-05-04 12:31:39,Logon,usuario_08,WS-08,\Users\Documents,Initial Access,T1078,Valid Accounts
case_042,2026-05-04 12:33:45,Abrir_Aplicativo,usuario_08,WS-08,\Users\Documents,Benigno,-,Uso normal
case_042,2026-05-04 12:37:40,Abrir_Aplicativo,usuario_08,WS-08,\\fileserver\comum,Benigno,-,Uso normal
case_042,2026-05-04 12:41:48,Navegacao_Web,usuario_08,WS-08,\Users\Public,Benigno,-,Uso normal
case_042,2026-05-04 12:44:07,Acesso_Arquivo_Comum,usuario_08,WS-08,\Users\Public,Benigno,-,Uso normal
case_042,2026-05-04 12:48:00,Impressao,usuario_08,WS-08,\\fileserver\comum,Benigno,-,Uso normal
case_042,2026-05-04 12:50:20,Impressao,usuario_08,WS-08,-,Benigno,-,Uso normal
case_042,2026-05-04 12:55:15,Logoff,usuario_08,WS-08,-,Benigno,-,Uso normal
case_036,2026-05-07 09:23:16,Logon,usuario_16,WS-16,\Users\Public,Initial Access,T1078,Valid Accounts
case_036,2026-05-07 09:27:13,Acesso_Arquivo_Comum,usuario_16,WS-16,intranet.local,Benigno,-,Uso normal
case_036,2026-05-07 09:29:29,Acesso_Arquivo_Comum,usuario_16,WS-16,\\fileserver\comum,Benigno,-,Uso normal
case_036,2026-05-07 09:30:06,Impressao,usuario_16,WS-16,-,Benigno,-,Uso normal
case_036,2026-05-07 09:33:19,Envio_Email,usuario_16,WS-16,-,Benigno,-,Uso normal
case_036,2026-05-07 09:37:14,Acesso_Arquivo_Comum,usuario_16,WS-16,intranet.local,Benigno,-,Uso normal
case_036,2026-05-07 09:40:56,Abrir_Aplicativo,usuario_16,WS-16,\Users\Public,Benigno,-,Uso normal
case_036,2026-05-07 09:41:19,Navegacao_Web,usuario_16,WS-16,intranet.local,Benigno,-,Uso normal
case_036,2026-05-07 09:45:57,Logoff,usuario_16,WS-16,\Users\Documents,Benigno,-,Uso normal
case_070,2026-05-05 04:33:57,Logon,usuario_03,WS-03,-,Initial Access,T1078,Valid Accounts
case_070,2026-05-05 04:34:50,Descoberta_Arquivos,usuario_03,WS-03,-,Discovery,T1083,File and Directory Discovery
case_070,2026-05-05 04:38:26,Coleta_Arquivos,usuario_03,WS-03,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_070,2026-05-05 04:39:40,Coleta_Arquivos,usuario_03,WS-03,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_070,2026-05-05 04:42:06,Coleta_Arquivos,usuario_03,WS-03,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_070,2026-05-05 04:44:11,Coleta_Arquivos,usuario_03,WS-03,\\fileserver\financeiro,Collection,T1039,Data from Network Shared Drive
case_070,2026-05-05 04:46:15,Compactar_Dados,usuario_03,WS-03,-,Collection,T1560,Archive Collected Data
case_070,2026-05-05 04:47:32,Exfiltracao_USB,usuario_03,WS-03,USB:\,Exfiltration,T1052.001,Exfiltration Over USB
case_070,2026-05-05 04:48:09,Logoff,usuario_03,WS-03,-,Benigno,-,Uso normal
case_023,2026-05-05 14:49:37,Logon,usuario_03,WS-03,\Users\Documents,Initial Access,T1078,Valid Accounts
case_023,2026-05-05 14:53:18,Acesso_Arquivo_Comum,usuario_03,WS-03,\Users\Documents,Benigno,-,Uso normal
case_023,2026-05-05 14:56:11,Envio_Email,usuario_03,WS-03,intranet.local,Benigno,-,Uso normal
case_023,2026-05-05 14:58:30,Acesso_Arquivo_Comum,usuario_03,WS-03,\Users\Documents,Benigno,-,Uso normal
case_023,2026-05-05 15:03:20,Envio_Email,usuario_03,WS-03,\Users\Public,Benigno,-,Uso normal
case_023,2026-05-05 15:06:59,Abrir_Aplicativo,usuario_03,WS-03,intranet.local,Benigno,-,Uso normal
case_023,2026-05-05 15:11:32,Impressao,usuario_03,WS-03,\Users\Public,Benigno,-,Uso normal
case_023,2026-05-05 15:14:17,Logoff,usuario_03,WS-03,-,Benigno,-,Uso normal
case_050,2026-05-04 08:03:39,Logon,usuario_14,WS-14,\\fileserver\comum,Initial Access,T1078,Valid Accounts
case_050,2026-05-04 08:07:57,Navegacao_Web,usuario_14,WS-14,\Users\Public,Benigno,-,Uso normal
case_050,2026-05-04 08:12:05,Navegacao_Web,usuario_14,WS-14,impressora_01,Benigno,-,Uso normal
case_050,2026-05-04 08:16:19,Envio_Email,usuario_14,WS-14,\Users\Public,Benigno,-,Uso normal
case_050,2026-05-04 08:20:41,Navegacao_Web,usuario_14,WS-14,\\fileserver\comum,Benigno,-,Uso normal
case_050,2026-05-04 08:21:55,Navegacao_Web,usuario_14,WS-14,\Users\Documents,Benigno,-,Uso normal
case_050,2026-05-04 08:23:20,Logoff,usuario_14,WS-14,intranet.local,Benigno,-,Uso normal
case_014,2026-05-05 16:04:39,Logon,usuario_05,WS-05,-,Initial Access,T1078,Valid Accounts
case_014,2026-05-05 16:06:00,Abrir_Aplicativo,usuario_05,WS-05,impressora_01,Benigno,-,Uso normal
case_014,2026-05-05 16:06:51,Navegacao_Web,usuario_05,WS-05,intranet.local,Benigno,-,Uso normal
case_014,2026-05-05 16:11:36,Impressao,usuario_05,WS-05,impressora_01,Benigno,-,Uso normal
case_014,2026-05-05 16:16:03,Envio_Email,usuario_05,WS-05,\Users\Documents,Benigno,-,Uso normal
case_014,2026-05-05 16:16:52,Envio_Email,usuario_05,WS-05,\Users\Public,Benigno,-,Uso normal
case_014,2026-05-05 16:18:49,Envio_Email,usuario_05,WS-05,intranet.local,Benigno,-,Uso normal
case_014,2026-05-05 16:19:30,Abrir_Aplicativo,usuario_05,WS-05,\Users\Documents,Benigno,-,Uso normal
case_014,2026-05-05 16:24:09,Logoff,usuario_05,WS-05,\\fileserver\comum,Benigno,-,Uso normal
